1623527999999,35892.63000000,35947.43000000,35685.00000000,35730.00000000,1529.73957100
1623531599999,35730.01000000,36143.93000000,35730.01000000,35994.49000000,2060.57329400
1623535199999,35994.50000000,36042.16000000,35763.30000000,35817.20000000,1578.75917300
1623538799999,35817.19000000,35998.97000000,35529.42000000,35693.62000000,2105.28636000
1623542399999,35693.62000000,35868.38000000,35420.32000000,35546.11000000,1479.88495900
1623545999999,35546.12000000,35777.77000000,35342.14000000,35712.36000000,2028.40821000
1623549599999,35712.07000000,35926.96000000,35664.38000000,35785.05000000,1466.10573100
1623553199999,35785.04000000,35849.98000000,35404.26000000,35464.48000000,2066.85398300
1623556799999,35464.49000000,35472.78000000,34816.02000000,34867.80000000,4149.96560800
1623560399999,34867.81000000,35262.00000000,34757.00000000,35187.99000000,2458.40904600
1623563999999,35188.00000000,35214.29000000,34834.25000000,34981.48000000,1883.08965300
1623567599999,34981.48000000,35411.43000000,34887.01000000,35378.25000000,2620.54249600
1623571199999,35378.25000000,35499.86000000,35242.75000000,35280.02000000,1949.46672100
1623574799999,35282.02000000,35772.38000000,35171.55000000,35629.65000000,2773.14651000
1623578399999,35629.64000000,35899.54000000,35500.00000000,35832.98000000,2340.54572400
1623581999999,35835.62000000,36098.14000000,35710.00000000,35970.51000000,3029.80744900
1623585599999,35970.52000000,36099.00000000,35738.37000000,35904.03000000,2557.82866500
1623589199999,35904.02000000,36150.00000000,35787.36000000,35886.14000000,2947.01097100
1623592799999,35886.15000000,36084.12000000,35771.58000000,35879.99000000,2095.35756000
1623596399999,35880.00000000,36019.23000000,35670.00000000,35761.30000000,2347.41971900
1623599999999,35757.25000000,36076.64000000,35725.12000000,36034.97000000,2015.91032500
1623603599999,36034.96000000,37197.86000000,35970.00000000,37029.57000000,9069.66993200
1623607199999,37029.57000000,37489.75000000,36848.22000000,37300.00000000,5284.28164500
1623610799999,37300.00000000,37628.23000000,37260.00000000,37493.87000000,4330.32835600
1623614399999,37493.87000000,37750.14000000,37270.00000000,37650.00000000,3380.32787700
1623617999999,37650.00000000,39380.00000000,37636.18000000,39250.00000000,15118.02788800
1623621599999,39249.99000000,39300.00000000,38790.00000000,38899.51000000,4590.97680800
1623625199999,38899.52000000,39079.90000000,38700.00000000,38875.66000000,3787.53104000
1623628799999,38873.24000000,39177.38000000,38725.01000000,39020.57000000,2630.01363800
1623632399999,39020.56000000,39252.00000000,38770.00000000,39122.18000000,4283.75116700
1623635999999,39122.19000000,39800.00000000,38938.55000000,39176.62000000,8242.99304600
1623639599999,39176.61000000,39299.91000000,38850.66000000,38977.75000000,3462.87719000
1623643199999,38979.45000000,39081.63000000,38730.00000000,38975.14000000,3025.91918300
1623646799999,38975.14000000,39360.00000000,38782.34000000,39258.44000000,2743.09831400
1623650399999,39258.43000000,39603.13000000,39120.00000000,39403.78000000,3494.41709900
1623653999999,39403.79000000,39700.00000000,39162.98000000,39609.26000000,3769.14055100
1623657599999,39609.25000000,39677.00000000,39440.00000000,39555.24000000,2633.20222200
1623661199999,39555.25000000,39629.01000000,38820.00000000,39008.27000000,4391.33651200
1623664799999,39008.25000000,39500.00000000,38967.72000000,39097.00000000,4401.60596300
1623668399999,39097.00000000,39400.00000000,39034.00000000,39325.02000000,2575.08582700
1623671999999,39325.02000000,39449.25000000,39126.80000000,39166.33000000,2113.86793400
1623675599999,39166.33000000,39635.88000000,39040.00000000,39590.87000000,4534.47325600
1623679199999,39590.87000000,40826.32000000,39525.74000000,40538.24000000,14027.73330100
1623682799999,40537.59000000,41064.05000000,40400.00000000,40543.46000000,9144.15918400
1623686399999,40543.46000000,40740.03000000,40430.32000000,40685.37000000,4563.00951800
1623689999999,40685.37000000,40740.03000000,39813.00000000,40159.97000000,8344.28560100
1623693599999,40159.97000000,40319.75000000,39950.45000000,40217.39000000,3483.88286800
1623697199999,40217.39000000,40277.55000000,39657.00000000,39732.81000000,3507.58632100
1623700799999,39732.82000000,39850.00000000,39323.10000000,39716.06000000,4610.07221500
1623704399999,39716.06000000,39958.87000000,39602.00000000,39820.97000000,2537.33021600
1623707999999,39820.97000000,40340.62000000,39820.97000000,40270.00000000,3470.77371500
1623711599999,40270.00000000,40400.00000000,40031.36000000,40166.21000000,2324.43679600
1623715199999,40166.21000000,40605.87000000,40085.69000000,40516.29000000,2837.35395000
1623718799999,40516.28000000,40900.00000000,40169.51000000,40355.88000000,4690.09909800
1623722399999,40355.89000000,40459.62000000,39856.60000000,39922.03000000,2292.44220000
1623725999999,39922.03000000,40391.64000000,39887.70000000,40256.41000000,2772.67429900
1623729599999,40256.41000000,40600.00000000,40252.12000000,40404.86000000,2349.57885800
1623733199999,40403.13000000,40580.00000000,40285.71000000,40504.71000000,2149.46465000
1623736799999,40504.71000000,40535.96000000,40204.20000000,40331.07000000,2181.59739700
1623740399999,40331.07000000,40512.49000000,40211.69000000,40282.94000000,2407.84252100
1623743999999,40282.94000000,40373.73000000,40100.00000000,40365.74000000,2182.77064100
1623747599999,40367.41000000,40400.00000000,39654.00000000,39798.22000000,4429.04529300
1623751199999,39798.22000000,40232.00000000,39531.00000000,40099.58000000,4084.27179400
1623754799999,40099.58000000,40200.00000000,39882.03000000,39916.68000000,2238.93864900
1623758399999,39916.67000000,40100.00000000,39672.86000000,39839.90000000,3110.92640900
1623761999999,39839.90000000,40450.00000000,39751.31000000,40417.84000000,3657.51215100
1623765599999,40419.86000000,40423.08000000,40145.97000000,40280.32000000,2759.68448400
1623769199999,40280.32000000,40333.08000000,39856.84000000,40001.88000000,3425.48012900
